coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
1672490,https://bisque.cyverse.org/image_service/image/00-kg3Uwbh3pzBjY4KXwiWu4/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-kg3Uwbh3pzBjY4KXwiWu4/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-kg3Uwbh3pzBjY4KXwiWu4/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-kg3Uwbh3pzBjY4KXwiWu4/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:da7fc11c-8ae4-4a75-b341-3e5812a3a73a,"2019-10-28 00:42:10",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1672490,StillImage,Photograph,en
1673098,https://bisque.cyverse.org/image_service/image/00-YGqTHKTT34QZgTVzeV28JA/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-YGqTHKTT34QZgTVzeV28JA/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-YGqTHKTT34QZgTVzeV28JA/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-YGqTHKTT34QZgTVzeV28JA/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:f18ce3dc-3278-454e-b047-6c3cdd782913,"2019-09-30 19:05:35",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1673098,StillImage,Photograph,en
1673193,https://bisque.cyverse.org/image_service/image/00-MfohyHVvUFHUq4nqyb7reA/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-MfohyHVvUFHUq4nqyb7reA/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-MfohyHVvUFHUq4nqyb7reA/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-MfohyHVvUFHUq4nqyb7reA/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:b3b5dc4e-95b2-46e8-b20b-ac1920c126ed,"2019-09-30 19:05:35",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1673193,StillImage,Photograph,en
1673603,https://bisque.cyverse.org/image_service/image/00-MJSedx5Qa3DnysoCJfpX4n/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-MJSedx5Qa3DnysoCJfpX4n/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-MJSedx5Qa3DnysoCJfpX4n/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-MJSedx5Qa3DnysoCJfpX4n/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:4f9bdbd5-d44e-4090-8654-4e2ca87c7593,"2019-10-28 00:42:10",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1673603,StillImage,Photograph,en
1673925,https://bisque.cyverse.org/image_service/image/00-pgPpeMZhk6Exu3QjXsvupi/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-pgPpeMZhk6Exu3QjXsvupi/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-pgPpeMZhk6Exu3QjXsvupi/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-pgPpeMZhk6Exu3QjXsvupi/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:d6e589a0-47c6-47e4-9552-d2ac393213df,"2019-10-28 00:42:10",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1673925,StillImage,Photograph,en
1674537,https://bisque.cyverse.org/image_service/image/00-3qacQkno8qkS8pbkEHNhTb/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-3qacQkno8qkS8pbkEHNhTb/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-3qacQkno8qkS8pbkEHNhTb/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-3qacQkno8qkS8pbkEHNhTb/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:717aba4a-d8fb-4142-ade2-cf6f3ac691db,"2019-09-30 19:05:35",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1674537,StillImage,Photograph,en
1676553,https://bisque.cyverse.org/image_service/image/00-jr4FNpzbLtvsjLHWNy8s6j/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-jr4FNpzbLtvsjLHWNy8s6j/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-jr4FNpzbLtvsjLHWNy8s6j/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-jr4FNpzbLtvsjLHWNy8s6j/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:eec5a98b-57da-4ee7-bb37-4b7dff22c2b9,"2019-10-28 00:42:10",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1676553,StillImage,Photograph,en
1676690,https://bisque.cyverse.org/image_service/image/00-dSB3bhFs3zasMSuHs33YwT/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-dSB3bhFs3zasMSuHs33YwT/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-dSB3bhFs3zasMSuHs33YwT/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-dSB3bhFs3zasMSuHs33YwT/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:b7ec5659-df37-4b29-9a54-250655212aa5,"2019-10-28 00:42:10",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1676690,StillImage,Photograph,en
1680488,https://bisque.cyverse.org/image_service/image/00-nybXcUi4w7uVgCTq9Du9DF/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-nybXcUi4w7uVgCTq9Du9DF/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-nybXcUi4w7uVgCTq9Du9DF/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-nybXcUi4w7uVgCTq9Du9DF/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:ed5c3c0a-e24e-474f-a6c6-039114d7b26a,"2019-09-30 19:05:35",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1680488,StillImage,Photograph,en
1680765,https://bisque.cyverse.org/image_service/image/00-TUakEHFCu2YWKE8xupXNqG/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-TUakEHFCu2YWKE8xupXNqG/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-TUakEHFCu2YWKE8xupXNqG/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-TUakEHFCu2YWKE8xupXNqG/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:fcaa9f17-2abf-4a3e-9b44-68a11712a3fa,"2019-10-28 00:42:10",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1680765,StillImage,Photograph,en
