id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,recordedBy,associatedCollectors,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey_dbpk,collId,recordId,references
2326340,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5942,5942,urn:catalog:CAS:BOT:2640 | CAS 2640,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia rutifolia,247649,Greene,Eschscholzia,rutifolia,,,Brandegee,,1891-04-00,1891,4,0,,,"April 15, 1891",Accession number is a pre-1906 number. The label does not say which Brandegee.,,,,,,,,,,,,,,,,United States,California,Kern County,,Havilah,,0,,,,,,,,,,,,,,,,,,,en,,8/15/11 15:50,urn:catalog:CAS:BOT-BC:5942,1,urn:uuid:2e80ce76-2c90-4588-be70-f00ac2859dc5,http://cch2.org/portal/collections/individual/index.php?occid=2326340
2327017,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:190755,190755,urn:catalog:CAS:DS:579378 | DS 579378,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,,,"Applegate, Elmer Ivan",,1936-07-00,1936,7,0,,,5-Jul-36,,,,,,,,,,,,,,,,,United States,California,Modoc County,,"Hospital Rock, Lave Beds National Monument.",,0,,,,,,,,,,,,,,,,,,,en,,7/23/12 14:57,urn:catalog:CAS:BOT-BC:190755,1,urn:uuid:445068cf-f0db-4af8-b699-1acd61c07304,http://cch2.org/portal/collections/individual/index.php?occid=2327017
2327305,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5880,5880,urn:catalog:CAS:BOT:273 | CAS 273,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia caruifolia,247608,Greene,Eschscholzia,caruifolia,,,"Brandegee, Mary Katherine",,1889-04-00,1889,4,0,,,April 1889,old CAS #2613.,,,,,,,,,,,,,,,,United States,California,Colusa County,,Leesville,,0,,39.18943405,-122.4225693,NAD27,335,,,,,,,,,,,,,,en,,6/18/09 14:52,urn:catalog:CAS:BOT-BC:5880,1,urn:uuid:41fbf9a7-fc35-40f2-be6a-4d762f439f86,http://cch2.org/portal/collections/individual/index.php?occid=2327305
2328596,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:26662,26662,urn:catalog:CAS:DS:42996 | DS 42996,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica luxurians,,Fedde,,,,,"Heller, Amos Arthur",,1903-04-00,1903,4,0,,,25-Apr-03,"Original det. was as ""Eschscholtzia californica Cham. from type locality""",sand hills,,,,,,,,,,,,,,,United States,California,San Francisco County,,"near the Marine Hospital, San Francisco",,0,,,,,,,,,,,,,,,,,,,en,,6/16/11 16:50,urn:catalog:CAS:BOT-BC:26662,1,urn:uuid:461b9c01-82cd-43c1-9282-183bbb33732c,http://cch2.org/portal/collections/individual/index.php?occid=2328596
2331117,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5941,5941,urn:catalog:CAS:BOT:314 | CAS 314,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia rostellata,247648,Greene,Eschscholzia,rostellata,,,"Rixford, G. P.",,1901-05-00,1901,5,0,,,30-May-01,old CAS #17967,,,,,,,,,,,,,,,,United States,California,El Dorado County,,Colonia,,0,,,,,,,,,,,,,,,,,,,en,,6/18/09 16:58,urn:catalog:CAS:BOT-BC:5941,1,urn:uuid:36676561-4a61-42d4-9507-78895668a781,http://cch2.org/portal/collections/individual/index.php?occid=2331117
2332744,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5870,5870,urn:catalog:CAS:BOT:89783 | CAS 89783,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia apiculata,247598,Greene,Eschscholzia,apiculata,,,"Baker, Charles Fuller",,1903-05-00,1903,5,0,,,9-May-03,Tufts common,in gravelly bottoms,,,,,,,,,,,,,,,United States,California,Lake County,,Kelseyville,,0,,,,,,,,,,,,,,,,,,,en,,6/22/09 15:12,urn:catalog:CAS:BOT-BC:5870,1,urn:uuid:93d26622-43d1-4533-9bc0-c7933d44136b,http://cch2.org/portal/collections/individual/index.php?occid=2332744
2334485,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:190754,190754,urn:catalog:CAS:BOT:217682 | CAS 217682,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,,,"Howell, John Thomas",,1934-06-00,1934,6,0,,,30-Jun-34,,,,,,,,,,,,,,,,,United States,California,Modoc County,,Duncan Horse Camp.,,0,,41.6431,-121.1558,,,"41.6431°N, 121.1558°W",,Geonet,,,,1355,1355,,,,4447 ft,,en,,7/23/12 14:58,urn:catalog:CAS:BOT-BC:190754,1,urn:uuid:ba0700c6-6d9d-4172-b54e-0af3cbefb617,http://cch2.org/portal/collections/individual/index.php?occid=2334485
2334682,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5945,5945,urn:catalog:CAS:BOT:319 | CAS 319,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia stricta,247651,Greene,Eschscholzia,stricta,,,"Brandegee, Townsend Stith",,1891-06-00,1891,6,0,,,"June, 1891",old CAS #2634. Another specimen was previously mounted on this sheet; no notation regarding this currently.,,,,,,,,,,,,,,,,United States,California,Lake County,,Snow Mountain,,0,,,,,,,,,,,,,,,,,,,en,,6/22/09 10:39,urn:catalog:CAS:BOT-BC:5945,1,urn:uuid:47661324-d3f6-4039-b9af-d775f3378a52,http://cch2.org/portal/collections/individual/index.php?occid=2334682
2336556,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5897,5897,urn:catalog:CAS:BOT:289 | CAS 289,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia eximia,247623,Greene,Eschscholzia,eximia,,,"Brandegee, Townsend Stith",,1893-03-00,1893,3,0,,,"March 30, 1893",pre-1906 CAS accession #2633.,,,,,,,,,,,,,,,,United States,California,Fresno County,,Alcalde,,0,,,,,,,,,,,,,,,,,,,en,,6/22/09 16:01,urn:catalog:CAS:BOT-BC:5897,1,urn:uuid:34ff3b99-40dc-40fc-acff-0fccd1b1dd15,http://cch2.org/portal/collections/individual/index.php?occid=2336556
2337429,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5875,5875,urn:catalog:CAS:BOT:271 | CAS 271,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia biternata,247605,Greene,Eschscholzia,biternata,,,"Blankinship, Joseph William",,1893-06-00,1893,6,0,,,"June 26, 1893",old CAS #2464,,,,,,,,,,,,,,,,United States,California,Trinity County,,Upper Mad River,,0,,,,,,,,,,,,,,,,,,,en,,6/18/09 16:56,urn:catalog:CAS:BOT-BC:5875,1,urn:uuid:70999469-ba29-4e1d-9e90-6ac127339e35,http://cch2.org/portal/collections/individual/index.php?occid=2337429
