coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
388655,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:5e85dfd0-632a-4be8-91b6-d4d33aee8fb3,"2019-09-27 13:58:02"
388655,"John Viggiano",,3/13/2003,,"Eschscholzia californica",0,Cham.,,,,,"The Jepson Manual (Hickman, ed.,1993)",,urn:uuid:18896893-be5f-4eda-a148-b2af07aeda45,"2019-09-27 13:58:02"
389149,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:1143da6a-a8cb-4d40-9426-51a3c6baeafd,"2019-09-27 13:55:09"
389149,"Michael G. Simpson & Arlene Estrella",,s.d.,,"Eschscholzia californica",0,Cham.,,,,,"The Jepson Manual (Hickman, ed.,1993)",,urn:uuid:fc69d549-db4e-4cb8-b38f-30a4cb6d910f,"2019-09-27 13:55:09"
389244,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:986bc1d2-76af-4553-a3e7-812e8aed2cd7,"2019-09-27 13:58:02"
389244,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:9ba137af-3704-475c-bf5a-aab874e74a4e,"2019-09-27 13:58:02"
389245,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:63b09e04-2c3f-42c6-833d-5aa5088dad78,"2019-09-27 13:58:02"
389245,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:6d24dff2-c82f-459d-9196-345ffb27f494,"2019-09-27 13:58:02"
389494,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:0a1bec19-81a6-440d-95d7-8a039ce21a95,"2019-09-27 13:58:02"
389494,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:166b8805-8466-4791-b657-40f045ca9d89,"2019-09-27 13:58:02"
389654,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:8914314a-2a52-4426-a2dc-1b04db5f30b2,"2019-09-27 13:58:02"
389654,"Dinna C. Estrella",,6/26/2003,,"Eschscholzia californica",0,Cham.,,,,,"The Jepson Manual, Hickman Ed., 1996",,urn:uuid:9b58c3e4-b0a0-4a0e-9beb-398de6ca0cc8,"2019-09-27 13:58:02"
389972,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:2379c2ab-a2d1-4211-9185-1e437e6248ee,"2019-09-27 13:58:02"
389972,"D.C. Estrella",,5/5/2003,,"Eschscholzia californica",0,Cham.,,,,,"The Jepson Manual (Hickman, ed.,1996)",,urn:uuid:77d7c316-5c2d-4b0f-b2f2-0afd0a405820,"2019-09-27 13:58:02"
390056,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:303d277f-3e9e-48a3-96d8-20e4a5beac3a,"2019-09-27 13:55:09"
390056,"Ed Woch",,s.d.,,"Eschscholzia californica",0,Cham.,,,,,"The Jepson Manual (Hickman, ed.,1996)",,urn:uuid:05117cd9-fdb0-4652-ac29-2dffd659563b,"2019-09-27 13:55:09"
390220,"R.K. Lauri",,12/19/2002,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:649b94ec-aded-40f6-9e0a-97ce82d2be3c,"2019-09-27 13:58:02"
390220,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:bc63a916-6f2a-440b-995a-9f3eacb31543,"2019-09-27 13:58:02"
392896,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:bf3f032a-13f8-40c1-b93d-b3d975229baa,"2019-09-27 13:58:02"
392896,"C. Matt Guilliams",,4-25-2008,,"Eschscholzia californica",0,Cham.,,,,,"The Jepson Manual (Hickman, ed.,1993)",,urn:uuid:2aba0602-9abb-4078-95b9-fc86dd91997e,"2019-09-27 13:58:02"
392920,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:63c31183-b696-475f-9df4-8a78ed0c672b,"2019-09-27 13:58:02"
