term,estimate,std.error,statistic,p.value
(Intercept),247.88408715380828,15.139267183627805,16.37358560009297,8.084132386705519e-47
springTmean_norm,-8.522229484780791,1.101349108890334,-7.737990993035239,7.795057036519235e-14
